PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
14670	10047096	-2.135752	0.724021	9.674295	0.077789	0.055431	-0.100926	-0.005337	0.001808	0.024186
14671	10047121	-2.145434	0.710297	9.674235	0.080031	0.055237	-0.100715	-0.005362	0.001774	0.024186
14672	10047146	-2.226706	0.803512	9.756862	0.080247	0.046562	-0.101094	-0.005565	0.002007	0.024393
14673	10047171	-2.234814	0.850377	9.717165	0.076677	0.041933	-0.101690	-0.005585	0.002124	0.024293
14674	10047196	-2.232012	0.891603	9.729252	0.070830	0.030367	-0.099118	-0.005579	0.002228	0.024324
14675	10047221	-2.186515	0.857339	9.685343	0.064191	0.029618	-0.106426	-0.005465	0.002142	0.024214
14676	10047246	-2.207164	0.809413	9.646638	0.057304	0.019297	-0.110166	-0.005517	0.002023	0.024117
14677	10047271	-2.142494	0.706435	9.598515	0.058936	0.019455	-0.112315	-0.005355	0.001765	0.023997
14678	10047296	-2.080717	0.644441	9.638205	0.061612	0.011931	-0.113048	-0.005201	0.001610	0.024096
14679	10047321	-2.183534	0.859119	9.589708	0.066522	0.004259	-0.114727	-0.005458	0.002147	0.023974
14680	10047346	-2.246714	0.886830	9.536640	0.055973	-0.000142	-0.109400	-0.005616	0.002216	0.023842
14681	10047371	-2.127180	0.819208	9.605547	0.064321	-0.005496	-0.114925	-0.005318	0.002047	0.024014
14682	10047396	-2.092645	0.839926	9.568451	0.070409	-0.011426	-0.116269	-0.005232	0.002098	0.023921
14683	10047421	-2.064920	0.844303	9.492778	0.056748	-0.013503	-0.118858	-0.005162	0.002110	0.023732
14684	10047446	-1.979651	0.709745	9.448537	0.057825	-0.012045	-0.115983	-0.004949	0.001773	0.023621
14685	10047471	-1.920387	0.708470	9.420681	0.062558	-0.015421	-0.114347	-0.004801	0.001770	0.023552
14686	10047496	-1.844584	0.637230	9.348764	0.059415	-0.013822	-0.119017	-0.004612	0.001592	0.023372
14687	10047521	-1.853905	0.796853	9.317416	0.073516	-0.013423	-0.112985	-0.004635	0.001991	0.023294
14688	10047546	-1.882913	0.792575	9.350590	0.076634	-0.016035	-0.119643	-0.004707	0.001980	0.023377
14689	10047571	-1.898149	0.719720	9.343695	0.074069	-0.012642	-0.128327	-0.004745	0.001798	0.023359
14690	10047596	-1.778573	0.676924	9.404712	0.079611	-0.008284	-0.136878	-0.004446	0.001691	0.023512
14691	10047621	-1.776980	0.699143	9.327760	0.089915	-0.004475	-0.126484	-0.004442	0.001746	0.023320
14692	10047646	-1.753815	0.587603	9.372570	0.083780	0.011657	-0.117569	-0.004384	0.001467	0.023432
14693	10047671	-1.719323	0.617920	9.366040	0.093149	0.008826	-0.125448	-0.004298	0.001543	0.023415
14694	10047696	-1.851448	0.675600	9.372799	0.099337	0.008275	-0.134955	-0.004628	0.001687	0.023432
14695	10047721	-1.840534	0.790799	9.466147	0.098704	0.012007	-0.142349	-0.004601	0.001975	0.023666
14696	10047746	-1.824156	0.673917	9.463123	0.098482	0.019646	-0.138600	-0.004560	0.001683	0.023658
14697	10047771	-1.891896	0.647412	9.570588	0.099574	0.023226	-0.138916	-0.004729	0.001616	0.023927
14698	10047796	-2.166606	0.902202	9.454396	0.080615	0.018132	-0.133152	-0.005416	0.002254	0.023636
14699	10047821	-2.217778	0.877239	9.528652	0.057700	0.014660	-0.131167	-0.005544	0.002192	0.023822
14702	10047846	-2.324601	1.406854	9.037627	0.013563	0.013822	-0.122476	-0.005811	0.003518	0.022594
14703	10047871	-1.951670	1.175869	8.979910	-0.205423	0.043611	-0.088239	-0.004878	0.002946	0.022449
14704	10047896	-1.500991	1.158744	9.937832	-0.395460	0.069210	-0.078775	-0.003750	0.002910	0.024843
14705	10047921	-1.680002	0.984607	9.786988	-0.407951	0.055134	-0.108299	-0.004198	0.002475	0.024466
14706	10047946	-2.009536	0.631540	9.805525	-0.391701	0.083084	-0.115784	-0.005021	0.001592	0.024514
14707	10047971	-2.373621	0.483236	9.375877	-0.353861	0.084253	-0.105707	-0.005931	0.001219	0.023440
14708	10047996	-2.238823	0.529608	9.508869	-0.294852	0.079693	-0.109936	-0.005595	0.001334	0.023772
14709	10048021	-2.045300	0.528746	9.726815	-0.211208	0.064868	-0.107856	-0.005111	0.001329	0.024317
14710	10048046	-1.882588	0.489269	9.582011	-0.141270	0.075646	-0.115138	-0.004704	0.001228	0.023955
14711	10048071	-2.195404	0.925602	9.396003	-0.183226	0.097753	-0.107983	-0.005485	0.002320	0.023490
14712	10048096	-1.642739	0.541461	9.525164	-0.323978	0.126684	-0.077763	-0.004103	0.001364	0.023813
14713	10048121	-1.485604	0.988937	9.702166	-0.428699	0.134760	-0.076169	-0.003710	0.002486	0.024255
14714	10048146	-1.852593	0.643835	9.793752	-0.499736	0.159548	-0.087532	-0.004626	0.001625	0.024484
14715	10048171	-1.962800	0.672616	9.832275	-0.470731	0.179462	-0.099871	-0.004901	0.001697	0.024581
14716	10048196	-1.972600	0.340432	9.707657	-0.398712	0.198966	-0.114475	-0.004925	0.000864	0.024270
14717	10048221	-1.892583	0.255638	9.601134	-0.278398	0.214425	-0.129710	-0.004725	0.000648	0.024004
14718	10048246	-1.793473	0.033269	9.488895	-0.154614	0.220063	-0.132234	-0.004477	0.000088	0.023723
14719	10048271	-1.672385	0.145727	9.565066	-0.028536	0.228694	-0.124939	-0.004174	0.000366	0.023914
14720	10048296	-1.658620	0.212854	9.615739	0.074528	0.245608	-0.110324	-0.004139	0.000530	0.024041
14721	10048321	-1.609161	0.002619	9.531425	0.122969	0.273374	-0.095952	-0.004015	0.000003	0.023830
14722	10048346	-1.662592	0.527108	9.735006	0.139037	0.292192	-0.073940	-0.004147	0.001314	0.024339
14723	10048371	-2.002807	0.329379	9.665113	0.124247	0.315806	-0.045696	-0.004997	0.000820	0.024165
14724	10048396	-2.461581	0.726810	10.024763	0.074841	0.338219	-0.011232	-0.006143	0.001815	0.025065
