PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
09216	14739401	-2.621557	0.114095	9.434132	-0.013638	-0.013457	0.005420	39.978643370	116.338924063	46.131091
09217	14739426	-2.631190	0.103081	9.439414	-0.016578	-0.009851	0.001639	39.978643369	116.338924064	46.131137
09218	14739451	-2.614582	0.126527	9.419542	-0.017972	-0.011599	-0.001374	39.978643368	116.338924065	46.131050
09219	14739476	-2.605013	0.107235	9.439442	-0.015876	-0.013310	0.002648	39.978643367	116.338924066	46.130964
09220	14739501	-2.605003	0.111338	9.436787	-0.018802	-0.014180	-0.000627	39.978643366	116.338924067	46.130877
09221	14739526	-2.631236	0.092050	9.439367	-0.017738	-0.015576	0.002699	39.978643366	116.338924067	46.130791
09222	14739551	-2.625801	0.063096	9.459232	-0.016490	-0.015536	-0.006489	39.978643365	116.338924068	46.130704
09223	14739576	-2.621482	0.134762	9.427538	-0.019038	-0.014265	0.001687	39.978643364	116.338924069	46.130618
09224	14739601	-2.642290	0.101624	9.455370	-0.025789	-0.011230	0.001566	39.978643363	116.338924070	46.130531
09225	14739626	-2.685204	0.040909	9.503048	-0.021271	-0.017330	-0.000271	39.978643362	116.338924071	46.131283
09226	14739651	-2.667324	0.029841	9.512338	-0.019583	-0.022189	-0.004509	39.978643361	116.338924072	46.131198
09227	14739676	-2.652179	0.040860	9.515035	-0.024402	-0.021113	0.003275	39.978643360	116.338924072	46.131113
09228	14739701	-2.629940	0.050695	9.456536	-0.025469	-0.020292	-0.000551	39.978643359	116.338924073	46.131029
09229	14739726	-2.623002	0.068635	9.441968	-0.027761	-0.021830	0.001749	39.978643358	116.338924074	46.130943
09230	14739751	-2.618829	0.079660	9.438019	-0.024547	-0.020874	0.002462	39.978643358	116.338924075	46.130859
09233	14739776	-2.633996	0.083760	9.451333	-0.023277	-0.025515	0.008421	39.978643357	116.338924076	46.130775
09234	14739801	-2.625747	0.090687	9.446022	-0.028019	-0.027065	0.005817	39.978643356	116.338924077	46.130690
09235	14739826	-2.649174	0.100273	9.455355	-0.030339	-0.026368	0.002171	39.978643453	116.338923872	46.125406
