PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
04099	35506174	-0.911666	6.657535	14.888964	1.722198	-3.982057	1.793761	39.979387665	116.338914430	45.558031
04100	35506199	-1.309723	6.685260	14.286084	1.723746	-4.145462	1.884976	39.979387695	116.338914434	45.557963
04101	35506224	-0.572748	6.394430	13.631309	1.706124	-4.291186	1.981334	39.979387726	116.338914438	45.557830
04102	35506249	-0.077023	6.115436	13.396034	1.685582	-4.360665	2.052904	39.979387758	116.338914443	45.557630
04103	35506274	-0.479777	5.973289	13.083553	1.635953	-4.425473	2.131207	39.979387791	116.338914448	45.496762
04104	35506299	-0.921659	5.681968	12.305679	1.535801	-4.521370	2.214446	39.979387824	116.338914453	45.496431
04105	35506324	-1.201048	5.255868	11.467063	1.472578	-4.630644	2.273533	39.979387858	116.338914459	45.496042
04106	35506349	-1.496417	4.783030	10.956575	1.405673	-4.694848	2.323270	39.979387893	116.338914465	45.495597
04107	35506374	-1.216564	4.673284	10.461569	1.286813	-4.765058	2.380478	39.979387928	116.338914472	45.495108
04108	35506399	-1.497476	3.682870	9.993108	1.179933	-4.836783	2.431360	39.979387964	116.338914478	45.494557
04109	35506424	-1.899173	3.116546	9.098762	1.164318	-4.855673	2.450605	39.979388000	116.338914486	45.493957
04110	35506449	-1.750160	3.146574	8.821550	1.087777	-4.870234	2.476894	39.979388037	116.338914493	45.493311
04111	35506474	-1.536437	2.654272	8.670725	1.015567	-4.901177	2.506576	39.979388074	116.338914501	45.466702
04112	35506499	-1.613889	2.193033	8.345817	0.947579	-4.909295	2.531732	39.979388112	116.338914509	45.465959
04113	35506524	-1.795084	1.743322	8.246898	0.901751	-4.909381	2.546079	39.979388150	116.338914517	45.465173
04114	35506549	-2.061808	1.349316	8.375841	0.879897	-4.909551	2.550282	39.979388188	116.338914526	45.464344
04115	35506574	-2.226643	1.000868	8.441156	0.851845	-4.916856	2.547964	39.979388227	116.338914535	45.463490
04116	35506599	-2.434691	0.556826	8.694893	0.836892	-4.915495	2.547944	39.979388267	116.338914544	45.462587
