PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
41072	36412399	-2.164952	0.901633	9.584062	-0.002652	0.010350	0.000399	39.979427487	116.338893719	46.885465
41073	36412424	-2.142925	0.923522	9.606763	-0.001025	0.012791	0.003050	39.979427486	116.338893718	46.885445
41074	36412449	-2.045898	1.010879	9.431525	0.000618	0.010473	0.000121	39.979427485	116.338893717	46.885425
41075	36412474	-1.968496	1.015365	9.338451	-0.002666	0.013265	0.000344	39.979427485	116.338893716	46.884038
41076	36412499	-2.021093	0.932604	9.390041	-0.008333	0.016934	-0.003970	39.979427484	116.338893716	46.884016
41077	36412524	-2.101347	0.949950	9.537704	-0.001487	0.018540	-0.001977	39.979427483	116.338893715	46.883992
41078	36412549	-2.137340	0.986830	9.612285	-0.005463	0.016403	-0.005271	39.979427482	116.338893714	46.883969
41079	36412574	-2.083352	1.010533	9.533918	-0.004001	0.020348	-0.004004	39.979427482	116.338893713	46.883949
41080	36412599	-2.159128	0.998161	9.529847	-0.002241	0.020905	-0.004122	39.979427481	116.338893712	46.883926
41081	36412624	-2.261653	0.906756	9.685118	-0.005515	0.014442	-0.000697	39.979427480	116.338893712	46.883904
41082	36412649	-2.088651	0.957305	9.414012	-0.001322	0.013928	-0.005235	39.979427479	116.338893711	46.883882
41083	36412674	-2.029195	0.953413	9.340879	-0.007337	0.014158	-0.003524	39.979427479	116.338893710	46.879984
41084	36412699	-2.093290	0.879644	9.570730	-0.007598	0.016645	-0.002088	39.979427478	116.338893709	46.879958
41085	36412724	-2.171901	0.949611	9.630768	-0.001876	0.016606	0.000146	39.979427477	116.338893708	46.879933
41086	36412749	-2.102705	1.007684	9.556517	0.000402	0.021240	0.001171	39.979427476	116.338893707	46.879908
41087	36412774	-2.092907	0.987324	9.483287	-0.000995	0.017270	-0.005800	39.979427476	116.338893707	46.879882
41088	36412799	-2.150741	1.027225	9.483385	-0.007190	0.023384	0.000042	39.979427475	116.338893706	46.879857
41089	36412824	-2.235360	0.909681	9.638583	-0.003983	0.016765	-0.001629	39.979427474	116.338893705	46.879832
41090	36412849	-2.153821	0.926500	9.556207	-0.002784	0.013493	-0.001043	39.979427473	116.338893704	46.879808
41091	36412874	-2.064971	1.064770	9.378472	-0.001496	0.020301	0.001536	39.979427472	116.338893703	46.877461
41092	36412899	-2.099774	0.983241	9.469957	-0.010259	0.015689	-0.002484	39.979427472	116.338893702	46.877434
41093	36412924	-2.140047	0.943006	9.565589	-0.004865	0.018622	-0.004518	39.979427471	116.338893702	46.877408
41094	36412949	-2.112462	0.985564	9.577714	-0.002232	0.017256	-0.003049	39.979427470	116.338893701	46.877381
41095	36412974	-2.131752	0.963603	9.564334	-0.006145	0.025275	0.000048	39.979427469	116.338893700	46.877356
41096	36412999	-2.242320	0.897216	9.663812	-0.001141	0.020331	-0.003806	39.979427469	116.338893699	46.877331
41097	36413024	-2.189409	1.028506	9.511297	-0.003330	0.021334	0.002830	39.979427468	116.338893698	46.877306
41098	36413049	-2.104992	1.042729	9.391674	-0.006421	0.015704	-0.005402	39.979427467	116.338893697	46.877281
41099	36413074	-2.097006	0.943453	9.436582	-0.006299	0.014637	-0.000948	39.979427466	116.338893697	46.873422
41100	36413099	-2.134450	0.952665	9.548333	-0.003712	0.014199	-0.004189	39.979427466	116.338893696	46.873393
41101	36413124	-2.205114	0.946651	9.687946	-0.004594	0.013535	-0.006332	39.979427465	116.338893695	46.873365
41102	36413149	-2.257483	0.974122	9.707960	-0.003901	0.021958	-0.005268	39.979427464	116.338893694	46.873338
41103	36413174	-2.105231	0.995672	9.455372	-0.003642	0.017305	-0.003999	39.979427463	116.338893693	46.873311
41104	36413199	-2.053935	0.946709	9.292953	-0.007488	0.015686	-0.002398	39.979427462	116.338893693	46.873283
41105	36413224	-2.103945	0.904920	9.440449	-0.008439	0.015980	-0.004162	39.979427462	116.338893692	46.873255
41106	36413249	-2.187055	0.979830	9.654804	-0.002854	0.013596	-0.002302	39.979427461	116.338893691	46.873227
41107	36413274	-2.235678	0.982017	9.809095	-0.001048	0.015131	0.002722	39.979427460	116.338893690	46.871966
41108	36413299	-2.088696	1.047843	9.486159	-0.000338	0.022240	-0.007924	39.979427459	116.338893689	46.871939
41109	36413324	-2.021899	0.967798	9.177313	-0.011124	0.022788	0.002211	39.979427459	116.338893688	46.871911
41110	36413349	-2.152095	0.830913	9.359022	-0.008884	0.015800	-0.003229	39.979427458	116.338893688	46.871882
41111	36413374	-2.171957	0.912449	9.634642	-0.003161	0.013095	-0.002177	39.979427457	116.338893687	46.871854
41112	36413399	-1.956457	1.021655	9.491462	-0.007933	0.020824	-0.002401	39.979427456	116.338893686	46.871824
41113	36413424	-1.927219	1.019379	9.366430	-0.012584	0.028323	-0.004573	39.979427455	116.338893685	46.871794
41114	36413449	-2.105190	0.958618	9.420680	-0.008346	0.031303	-0.007185	39.979427455	116.338893684	46.871763
41115	36413474	-2.156328	0.954370	9.469825	-0.008509	0.025791	-0.007622	39.979427454	116.338893683	46.870503
41116	36413499	-2.108162	0.981706	9.515179	-0.004712	0.024584	-0.003888	39.979427453	116.338893683	46.870470
41117	36413524	-2.095853	0.949948	9.533715	-0.008523	0.031182	-0.006934	39.979427452	116.338893682	46.870437
41118	36413549	-2.148210	0.925316	9.512318	-0.009654	0.034934	-0.005572	39.979427451	116.338893681	46.870405
41119	36413574	-2.153616	0.926804	9.476394	-0.008506	0.034623	-0.004935	39.979427451	116.338893680	46.870371
41120	36413599	-2.130188	0.913047	9.471048	-0.006329	0.031540	-0.007987	39.979427450	116.338893679	46.870338
