PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
45294	28484499	-2.264413	0.906477	9.303797	0.085551	0.058039	-0.021775	-0.005659	0.002264	0.023260
45295	28484524	-2.260297	0.900989	9.303774	0.080757	0.062215	-0.018302	-0.005649	0.002250	0.023260
45296	28484549	-2.293168	0.942454	9.256015	0.075091	0.065656	-0.021362	-0.005731	0.002354	0.023141
45297	28484574	-2.356532	1.000172	9.282778	0.070804	0.071855	-0.021784	-0.005889	0.002499	0.023208
45298	28484599	-2.390947	1.077124	9.313606	0.067012	0.069976	-0.024825	-0.005975	0.002691	0.023285
45299	28484624	-2.330052	1.103582	9.223283	0.059944	0.073613	-0.027771	-0.005823	0.002757	0.023059
45300	28484649	-2.219577	1.138246	9.144978	0.043902	0.074767	-0.032727	-0.005547	0.002845	0.022863
45301	28484674	-2.186395	1.201587	9.135906	0.034289	0.080068	-0.034626	-0.005464	0.003003	0.022840
45302	28484699	-2.204228	1.226420	9.121340	0.017171	0.090338	-0.051346	-0.005508	0.003066	0.022804
45303	28484724	-2.220989	1.145064	9.162298	0.010832	0.091988	-0.055668	-0.005550	0.002863	0.022906
45304	28484749	-2.274978	1.037601	9.201825	0.003442	0.096849	-0.065026	-0.005684	0.002594	0.023005
45305	28484774	-2.312359	0.960483	9.218820	0.002640	0.099336	-0.071882	-0.005778	0.002402	0.023048
45306	28484799	-2.362129	0.864063	9.235776	0.000134	0.106749	-0.075801	-0.005902	0.002161	0.023090
45307	28484824	-2.476840	0.825177	9.345964	-0.007176	0.101371	-0.075360	-0.006189	0.002064	0.023366
45308	28484849	-2.561242	0.757437	9.436136	-0.003266	0.098023	-0.070247	-0.006400	0.001894	0.023591
45309	28484874	-2.582256	0.624992	9.516846	0.002575	0.093916	-0.077355	-0.006453	0.001563	0.023793
45310	28484899	-2.682504	0.654431	9.382524	-0.003482	0.080211	-0.070740	-0.006704	0.001637	0.023457
45311	28484924	-2.668672	0.698457	9.385340	0.002611	0.071253	-0.072379	-0.006669	0.001747	0.023464
45312	28484949	-2.697882	0.659595	9.472981	0.007418	0.061105	-0.072649	-0.006743	0.001649	0.023683
45313	28484974	-2.709137	0.670268	9.570113	0.015010	0.053380	-0.068250	-0.006771	0.001676	0.023926
45314	28484999	-2.571385	0.615165	9.564688	0.015599	0.051257	-0.062649	-0.006427	0.001538	0.023912
45315	28485024	-2.510520	0.638873	9.483664	0.018109	0.045238	-0.054772	-0.006275	0.001597	0.023710
45316	28485049	-2.468627	0.712567	9.292390	0.017814	0.048262	-0.051950	-0.006170	0.001781	0.023231
45317	28485074	-2.367742	0.723859	9.200728	0.013426	0.048311	-0.045450	-0.005918	0.001810	0.023002
45318	28485099	-2.322323	0.788377	9.250172	0.015350	0.039317	-0.053650	-0.005805	0.001971	0.023126
45319	28485124	-2.376047	0.879003	9.295664	0.019680	0.041763	-0.054623	-0.005939	0.002197	0.023240
45320	28485149	-2.438226	0.925458	9.391555	0.015147	0.038356	-0.066152	-0.006094	0.002314	0.023479
45321	28485174	-2.458854	0.940658	9.380938	0.025308	0.036366	-0.074860	-0.006146	0.002351	0.023453
45322	28485199	-2.445272	0.831852	9.400538	0.029571	0.035687	-0.081418	-0.006112	0.002079	0.023502
45323	28485224	-2.528207	0.739420	9.457391	0.030723	0.038257	-0.082670	-0.006319	0.001848	0.023644
45324	28485249	-2.565483	0.705083	9.455916	0.031173	0.025803	-0.077073	-0.006413	0.001762	0.023640
45325	28485274	-2.539130	0.650379	9.353333	0.027491	0.019462	-0.073954	-0.006347	0.001626	0.023384
45326	28485299	-2.478303	0.738514	9.337703	0.024827	0.008698	-0.066303	-0.006195	0.001846	0.023344
45327	28485324	-2.456299	0.818088	9.391186	0.016668	0.008862	-0.064859	-0.006140	0.002045	0.023478
45328	28485349	-2.467330	0.804387	9.384477	0.017509	0.002013	-0.061211	-0.006168	0.002011	0.023461
45329	28485374	-2.442447	0.800330	9.360544	0.014980	0.003414	-0.064994	-0.006106	0.002001	0.023401
45330	28485399	-2.505903	0.753613	9.352365	0.018753	-0.002877	-0.065777	-0.006265	0.001884	0.023381
45331	28485424	-2.603907	0.758832	9.426815	0.027141	-0.002599	-0.071058	-0.006510	0.001897	0.023567
45332	28485449	-2.682128	0.926905	9.384756	0.039925	-0.013265	-0.079614	-0.006705	0.002317	0.023462
45333	28485474	-2.618495	0.943711	9.294409	0.035955	-0.014964	-0.079513	-0.006546	0.002359	0.023236
45334	28485499	-2.436685	0.808955	9.259491	0.009938	-0.024283	-0.070849	-0.006092	0.002023	0.023149
45335	28485524	-2.444990	0.745747	9.238001	-0.000328	-0.024001	-0.061896	-0.006113	0.001865	0.023095
45336	28485549	-2.413409	0.777200	9.288648	-0.004591	-0.023152	-0.048609	-0.006034	0.001943	0.023221
45337	28485574	-2.356747	0.821338	9.260907	-0.009052	-0.017877	-0.048146	-0.005892	0.002054	0.023152
45338	28485599	-2.301610	0.848825	9.269005	-0.012025	-0.018318	-0.048479	-0.005754	0.002123	0.023172
45339	28485624	-2.384154	0.913596	9.250551	-0.010359	-0.011922	-0.055949	-0.005961	0.002285	0.023126
45340	28485649	-2.509606	0.979430	9.309226	-0.014392	-0.011422	-0.060317	-0.006274	0.002449	0.023273
45341	28485674	-2.607666	0.975042	9.394270	-0.018549	-0.015041	-0.065060	-0.006519	0.002439	0.023485
45342	28485699	-2.538690	0.939418	9.347643	-0.016445	-0.015001	-0.070441	-0.006347	0.002350	0.023369
45343	28485724	-2.384402	0.870636	9.319574	-0.015852	-0.016235	-0.076960	-0.005961	0.002178	0.023299
45344	28485749	-2.206540	0.804856	9.243641	-0.022757	-0.006104	-0.070168	-0.005516	0.002013	0.023109
