PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
41392	20357499	9.362964	-0.893830	2.342312	0.013526	-0.036040	0.010887	-22.034908	-74.810169	118.736246	39.979542767	116.338914627	50.327738
41393	20357524	9.356048	-0.889687	2.352977	0.010683	-0.031550	0.006147	-22.041981	-74.814812	118.745119	39.979542762	116.338914630	50.327574
41394	20357549	9.340863	-0.911720	2.351537	0.015026	-0.027756	0.010008	-22.049574	-74.818744	118.755176	39.979542757	116.338914633	50.327410
41395	20357574	9.328383	-0.922851	2.375446	0.024064	-0.025526	0.003922	-22.052457	-74.822707	118.761693	39.979542753	116.338914636	50.327245
41396	20357599	9.342163	-0.903585	2.387477	0.024083	-0.025749	0.005367	-22.056091	-74.826622	118.768991	39.979542748	116.338914640	50.327079
41397	20357624	9.307692	-0.902251	2.395445	0.024641	-0.024934	0.005117	-22.059364	-74.830442	118.775997	39.979542743	116.338914643	50.326912
41398	20357649	9.295232	-0.905080	2.418037	0.035930	-0.024422	0.006400	-22.061548	-74.834124	118.783552	39.979542738	116.338914646	50.326745
41399	20357674	9.317221	-0.888695	2.451359	0.032628	-0.026731	0.008200	-22.065549	-74.838017	118.792497	39.979542733	116.338914649	50.328225
41400	20357699	9.293666	-0.902626	2.497851	0.030112	-0.028136	0.007364	-22.069783	-74.842140	118.801311	39.979542728	116.338914652	50.328057
41401	20357724	9.282689	-0.870994	2.499264	0.031202	-0.025035	0.007179	-22.073157	-74.845862	118.809396	39.979542724	116.338914655	50.327888
41402	20357749	9.289495	-0.847744	2.541926	0.032991	-0.025928	0.006880	-22.076309	-74.849718	118.817515	39.979542719	116.338914658	50.327719
41403	20357774	9.277052	-0.829973	2.573877	0.028969	-0.021657	0.004144	-22.077848	-74.853155	118.823367	39.979542714	116.338914661	50.327549
41404	20357799	9.290783	-0.845150	2.581817	0.030185	-0.025310	0.005664	-22.080687	-74.856995	118.830747	39.979542709	116.338914664	50.327378
