PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
61147	3150640	9.785885	-0.919132	1.104596	-0.591284	0.011815	0.115375	-34.843816	-81.056176	168.099543
61148	3150665	9.726781	-0.929949	1.051404	-0.616147	0.023150	0.122844	-35.011838	-81.044232	168.180283
61149	3150690	9.762668	-0.947641	1.010141	-0.655227	0.037864	0.136225	-35.187368	-81.029425	168.262961
61150	3150715	9.768175	-0.962751	1.000797	-0.690514	0.053731	0.133652	-35.357398	-81.012967	168.334766
61151	3150740	9.804100	-0.882947	1.001080	-0.727983	0.070484	0.130360	-35.521053	-80.994763	168.394877
61152	3150765	9.817864	-0.887112	1.005049	-0.759202	0.084126	0.129026	-35.680580	-80.975056	168.446284
61153	3150790	9.868667	-0.917500	1.046168	-0.770196	0.092216	0.126147	-35.834865	-80.954627	168.490791
61154	3150815	9.819061	-0.938124	1.046083	-0.777742	0.099270	0.122651	-35.983614	-80.933687	168.528400
61155	3150840	9.776253	-0.997286	1.056478	-0.772828	0.106759	0.115898	-36.122307	-80.912402	168.556741
61156	3150865	9.730924	-0.947719	1.039358	-0.768617	0.104322	0.111868	-36.258390	-80.891730	168.583051
61157	3150890	9.689519	-0.968411	1.065805	-0.762721	0.106323	0.097388	-36.381809	-80.872045	168.597392
61158	3150915	9.645328	-0.983694	1.102946	-0.752081	0.109552	0.088270	-36.495270	-80.852792	168.602981
61159	3150940	9.643987	-0.964418	1.102992	-0.733352	0.108062	0.076626	-36.598196	-80.834669	168.600827
61160	3150965	9.641034	-1.059429	1.125288	-0.721505	0.097528	0.062513	-36.694767	-80.818965	168.593954
61161	3150990	9.730536	-1.078663	1.119965	-0.708290	0.095540	0.046702	-36.779134	-80.804845	168.576637
61162	3151015	9.766327	-1.113019	1.107878	-0.697747	0.088786	0.036900	-36.858628	-80.792377	168.555691
61163	3151040	9.785456	-1.129717	1.159650	-0.688547	0.079426	0.028040	-36.935335	-80.781715	168.533476
61164	3151065	9.793538	-1.165659	1.208700	-0.669485	0.067569	0.019699	-37.009661	-80.773134	168.511615
61165	3151090	9.801851	-1.120324	1.218143	-0.641495	0.053585	0.015236	-37.084214	-80.766541	168.494046
61166	3151115	9.830823	-1.069475	1.227639	-0.618228	0.039865	0.010677	-37.159584	-80.761945	168.480449
61167	3151140	9.839211	-1.030898	1.198560	-0.605391	0.028975	0.014402	-37.241391	-80.758240	168.475468
61168	3151165	9.840775	-0.944110	1.174891	-0.601174	0.019808	0.005442	-37.321176	-80.756358	168.469050
61169	3151190	9.822937	-0.923461	1.157707	-0.601092	0.016658	0.008294	-37.404611	-80.754588	168.466343
61170	3151215	9.817538	-0.915071	1.119220	-0.624244	0.016327	0.014009	-37.495619	-80.752391	168.467713
61171	3151240	9.824291	-0.987982	1.132246	-0.645222	0.014566	0.009981	-37.587641	-80.750713	168.467301
61172	3151265	9.894557	-0.979729	1.127020	-0.675418	0.008823	0.007969	-37.685654	-80.749863	168.468576
61173	3151290	9.902932	-0.987807	1.075166	-0.692766	0.013132	0.008275	-37.784036	-80.748497	168.467708
61174	3151315	9.912729	-0.960117	1.023470	-0.709854	0.014687	0.004080	-37.881208	-80.747357	168.462893
61175	3151340	9.922385	-0.995762	0.996754	-0.724447	0.022924	0.006053	-37.977268	-80.745081	168.455074
61176	3151365	9.951251	-1.057587	0.984649	-0.737335	0.025968	0.003473	-38.071719	-80.742691	168.443754
61177	3151390	9.927931	-1.067099	0.940733	-0.749293	0.030947	0.001733	-38.163958	-80.739897	168.428458
61178	3151415	9.927967	-1.051883	0.938121	-0.764382	0.037025	0.001097	-38.254710	-80.736514	168.409208
61179	3151440	9.943114	-1.013498	0.956855	-0.766906	0.042439	-0.001015	-38.341282	-80.732679	168.385614
61180	3151465	9.926643	-0.996969	0.948935	-0.769884	0.044994	-0.001293	-38.426672	-80.728589	168.360389
61181	3151490	9.903275	-0.989991	0.936978	-0.781396	0.048117	-0.006586	-38.508345	-80.724625	168.329727
61182	3151515	9.802530	-1.045182	0.985916	-0.789231	0.051187	-0.014965	-38.583817	-80.721108	168.291374
61183	3151540	9.754039	-1.111488	1.064051	-0.781274	0.048444	-0.021817	-38.654821	-80.718483	168.249919
61184	3151565	9.731978	-1.082700	1.093338	-0.761974	0.034609	-0.021525	-38.730828	-80.717387	168.216334
61185	3151590	9.756598	-1.107628	1.147748	-0.744616	0.018090	-0.029431	-38.808002	-80.718852	168.186451
61186	3151615	9.755098	-1.135280	1.180868	-0.724337	-0.005320	-0.044534	-38.884958	-80.724328	168.159011
61187	3151640	9.762091	-1.106277	1.151712	-0.707390	-0.023270	-0.058344	-38.959853	-80.733017	168.132222
61188	3151665	9.775915	-1.092499	1.141162	-0.693910	-0.045756	-0.076228	-39.033075	-80.745827	168.105695
61189	3151690	9.773115	-1.118669	1.146359	-0.672706	-0.065869	-0.088477	-39.106105	-80.761985	168.082052
61190	3151715	9.771771	-1.100785	1.146434	-0.666532	-0.085077	-0.097738	-39.182822	-80.781155	168.062755
61191	3151740	9.782879	-1.088295	1.114613	-0.649001	-0.104734	-0.105958	-39.262374	-80.803219	168.049161
61192	3151765	9.797980	-1.124042	1.110528	-0.640944	-0.123715	-0.124845	-39.338624	-80.829104	168.033393
61193	3151790	9.799363	-1.144611	1.094528	-0.636603	-0.140037	-0.133547	-39.417647	-80.857590	168.021065
61194	3151815	9.739996	-1.184611	1.130181	-0.632022	-0.147402	-0.141630	-39.494962	-80.887664	168.007376
61195	3151840	9.727517	-1.193011	1.158084	-0.617409	-0.167769	-0.142702	-39.581128	-80.920054	168.005068
61196	3151865	9.665348	-1.307154	1.169656	-0.599046	-0.188437	-0.145587	-39.674816	-80.954988	168.013041
61197	3151890	9.643160	-1.403457	1.171974	-0.578107	-0.201820	-0.152963	-39.768492	-80.992069	168.024038
61198	3151915	9.674723	-1.484582	1.174342	-0.578508	-0.213413	-0.162277	-39.863051	-81.031312	168.035557
61199	3151940	9.720192	-1.480442	1.167768	-0.578509	-0.222865	-0.173688	-39.955474	-81.072604	168.045225
61200	3151965	9.689873	-1.453063	1.185096	-0.580750	-0.230683	-0.175218	-40.052221	-81.114893	168.058943
61201	3151990	9.691172	-1.502579	1.188952	-0.590745	-0.235082	-0.175045	-40.153659	-81.157644	168.075958
