PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
04614	6605849	9.557438	-1.552443	1.751115	0.061272	0.018179	-0.011361	-44.846584	-77.029429	-136.877156	39.979146220	116.338928509	47.216125
04615	6605874	9.542221	-1.556656	1.776375	0.064307	0.014153	-0.013220	-44.825947	-77.030135	-136.888902	39.979146219	116.338928510	47.210736
04616	6605899	9.550473	-1.541567	1.787093	0.069335	0.017457	-0.012492	-44.803461	-77.030431	-136.901806	39.979146217	116.338928512	47.210497
04617	6605924	9.533985	-1.523641	1.777795	0.062878	0.018206	-0.009525	-44.782880	-77.030350	-136.913704	39.979146216	116.338928514	47.210258
04618	6605949	9.529841	-1.516811	1.789780	0.065625	0.015686	-0.012334	-44.761769	-77.030808	-136.925743	39.979146214	116.338928515	47.210020
04619	6605974	9.533920	-1.525118	1.807057	0.056517	0.014377	-0.011648	-44.742838	-77.031329	-136.936882	39.979146213	116.338928517	47.209781
04620	6605999	9.528513	-1.511233	1.767227	0.049707	0.018398	-0.006424	-44.725429	-77.030914	-136.947461	39.979146211	116.338928518	47.209543
04621	6606024	9.505160	-1.493275	1.752633	0.039124	0.010447	-0.012852	-44.710175	-77.031954	-136.957384	39.979146209	116.338928520	47.209305
04622	6606049	9.496873	-1.502889	1.749948	0.035590	0.012183	-0.007538	-44.697015	-77.032282	-136.965677	39.979146208	116.338928522	47.209066
04623	6606074	9.483142	-1.506960	1.732617	0.032282	0.010915	-0.003664	-44.686597	-77.032349	-136.971643	39.979146206	116.338928523	47.210840
04624	6606099	9.495645	-1.510925	1.688700	0.023451	0.007239	-0.004296	-44.678772	-77.032853	-136.976247	39.979146205	116.338928525	47.210603
04625	6606124	9.484704	-1.502549	1.658169	0.020730	0.011057	-0.003502	-44.670017	-77.032889	-136.982203	39.979146203	116.338928527	47.210365
04626	6606149	9.495837	-1.509244	1.615589	0.017399	0.012200	-0.004035	-44.661005	-77.032861	-136.988915	39.979146202	116.338928528	47.210127
04627	6606174	9.484778	-1.527137	1.611557	0.019023	0.010170	-0.003767	-44.652766	-77.033013	-136.994594	39.979146200	116.338928530	47.209889
04628	6606199	9.523449	-1.503675	1.591705	0.019340	0.010365	-0.003387	-44.644564	-77.033107	-137.000189	39.979146198	116.338928532	47.209651
04629	6606224	9.495899	-1.520148	1.580968	0.018589	0.005811	-0.010686	-44.635229	-77.034399	-137.007056	39.979146197	116.338928533	47.209412
04630	6606249	9.484958	-1.484328	1.567803	0.022306	0.011982	-0.008962	-44.623426	-77.034888	-137.015910	39.979146195	116.338928535	47.209173
04631	6606274	9.505599	-1.496713	1.571746	0.026847	0.009429	-0.009741	-44.611742	-77.035716	-137.023973	39.979146194	116.338928537	47.209945
04632	6606299	9.494636	-1.488374	1.551831	0.026183	0.004973	-0.006916	-44.603352	-77.036714	-137.028755	39.979146192	116.338928538	47.209706
04633	6606324	9.508467	-1.474592	1.538581	0.028105	0.008227	-0.005704	-44.593799	-77.037257	-137.034447	39.979146190	116.338928540	47.209467
04634	6606349	9.530492	-1.497948	1.535834	0.028901	0.002070	-0.005886	-44.586742	-77.038447	-137.037461	39.979146189	116.338928542	47.209227
04635	6606374	9.533293	-1.474537	1.533260	0.029592	0.007099	-0.004624	-44.577947	-77.038997	-137.042157	39.979146187	116.338928543	47.208988
04636	6606399	9.558039	-1.493857	1.541194	0.026722	0.008060	-0.004393	-44.569246	-77.039425	-137.047179	39.979146186	116.338928545	47.208748
04637	6606424	9.556624	-1.498026	1.554498	0.027303	0.006899	-0.005521	-44.560467	-77.040085	-137.052194	39.979146184	116.338928547	47.208508
04638	6606449	9.562091	-1.491206	1.578468	0.022464	0.011985	-0.005312	-44.550253	-77.040205	-137.059395	39.979146182	116.338928548	47.208268
04639	6606474	9.571647	-1.524331	1.592979	0.021334	0.012803	-0.009784	-44.537859	-77.040690	-137.068997	39.979146181	116.338928550	47.208057
04640	6606499	9.577118	-1.538119	1.599604	0.018595	0.010940	-0.007604	-44.527637	-77.041146	-137.076773	39.979146179	116.338928552	47.207817
04641	6606524	9.582602	-1.531300	1.616914	0.015992	0.017896	-0.009014	-44.514126	-77.041033	-137.088308	39.979146177	116.338928554	47.207578
04642	6606549	9.575664	-1.517657	1.644860	0.015970	0.018699	-0.010397	-44.499654	-77.040976	-137.100831	39.979146176	116.338928555	47.207339
04643	6606574	9.585279	-1.506693	1.666193	0.009847	0.017792	-0.016165	-44.483893	-77.041590	-137.115577	39.979146174	116.338928557	47.207100
04644	6606599	9.567330	-1.519095	1.670133	0.012262	0.015432	-0.012876	-44.470276	-77.042115	-137.127769	39.979146173	116.338928559	47.206861
04645	6606624	9.564584	-1.532853	1.659428	0.011571	0.015968	-0.010934	-44.457385	-77.042389	-137.139316	39.979146171	116.338928560	47.206623
04646	6606649	9.556292	-1.515034	1.679433	0.005902	0.015593	-0.007144	-44.447154	-77.042320	-137.148968	39.979146169	116.338928562	47.206384
04647	6606674	9.536995	-1.513640	1.678090	0.002760	0.011458	-0.004205	-44.440481	-77.042380	-137.155429	39.979146168	116.338928564	47.210269
04648	6606699	9.545318	-1.525919	1.656795	-0.004189	0.005683	-0.004886	-44.437018	-77.043098	-137.159619	39.979146166	116.338928566	47.210035
