PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
33828	5715599	5.928515	-0.703274	0.902998	-0.418699	0.246565	0.098646	-101.098018	-81.915893	94.276793	39.978973797	116.338972630	46.435002
33829	5715624	5.977989	-0.711732	0.949575	-0.307944	0.254624	0.095360	-100.877156	-81.909794	94.009090	39.978973791	116.338972608	46.434659
33830	5715649	6.063228	-0.735372	1.014678	-0.195749	0.250819	0.096253	-100.644200	-81.903319	93.745399	39.978973784	116.338972587	46.434293
33831	5715674	6.153934	-0.816744	1.062336	-0.081770	0.240545	0.085841	-100.407380	-81.897890	93.494290	39.978973777	116.338972565	46.430502
33832	5715699	6.235030	-0.877464	1.107398	0.032905	0.230548	0.076248	-100.166070	-81.893409	93.255237	39.978973771	116.338972543	46.430087
33833	5715724	6.358817	-0.917667	1.176458	0.144222	0.208616	0.058091	-99.933951	-81.890802	93.041571	39.978973764	116.338972522	46.429650
33834	5715749	6.515832	-0.901305	1.213830	0.253314	0.173423	0.035398	-99.725071	-81.890420	92.867162	39.978973758	116.338972500	46.429193
33835	5715774	6.681314	-0.783055	1.230284	0.357010	0.132521	0.008455	-99.546399	-81.892781	92.738271	39.978973751	116.338972478	46.428720
33836	5715799	6.802633	-0.721236	1.242494	0.449286	0.084795	-0.009637	-99.404761	-81.896520	92.660139	39.978973744	116.338972455	46.428223
33837	5715824	6.957040	-0.675851	1.237413	0.520250	0.026469	-0.017828	-99.312119	-81.900036	92.641765	39.978973738	116.338972433	46.427708
33838	5715849	7.155569	-0.634532	1.216363	0.565361	-0.043580	-0.015959	-99.282261	-81.901665	92.693334	39.978973731	116.338972411	46.427176
33839	5715874	7.387256	-0.584851	1.164793	0.593936	-0.109784	-0.024663	-99.315507	-81.902991	92.812781	39.978973725	116.338972388	46.429037
33840	5715899	7.624539	-0.533664	1.083989	0.610599	-0.187759	-0.032569	-99.425155	-81.903595	93.011805	39.978973719	116.338972366	46.428478
33841	5715924	7.892255	-0.445242	0.972747	0.614546	-0.259593	-0.038253	-99.606530	-81.903229	93.283850	39.978973712	116.338972343	46.427905
33842	5715949	8.162720	-0.322507	0.885537	0.607972	-0.336373	-0.052695	-99.867473	-81.902895	93.635313	39.978973706	116.338972321	46.427321
33843	5715974	8.466353	-0.211984	0.749120	0.596814	-0.398807	-0.055107	-100.192267	-81.901090	94.049658	39.978973700	116.338972298	46.426735
33844	5715999	8.728580	-0.138581	0.621851	0.578189	-0.455922	-0.066766	-100.578203	-81.899091	94.523067	39.978973693	116.338972275	46.426133
33845	5716024	9.046037	-0.115864	0.420008	0.562808	-0.509796	-0.077644	-101.021398	-81.896694	95.052089	39.978973687	116.338972252	46.425525
33846	5716049	9.348246	-0.082267	0.255447	0.538692	-0.548111	-0.092632	-101.508495	-81.894725	95.621970	39.978973681	116.338972229	46.424913
33847	5716074	9.661484	-0.012970	0.109573	0.510576	-0.574593	-0.113896	-102.029828	-81.894257	96.222366	39.978973675	116.338972207	46.422599
33848	5716099	9.977548	0.024788	-0.073629	0.457345	-0.591506	-0.129694	-102.578734	-81.894694	96.842911	39.978973669	116.338972184	46.421981
33849	5716124	10.325176	0.047301	-0.223599	0.389193	-0.600816	-0.139329	-103.148730	-81.895325	97.474898	39.978973663	116.338972161	46.421366
33850	5716149	10.671321	0.009228	-0.367118	0.301832	-0.594559	-0.153276	-103.728489	-81.897213	98.104106	39.978973658	116.338972138	46.420754
33851	5716174	11.021625	0.006860	-0.490538	0.208835	-0.579046	-0.148030	-104.305356	-81.898014	98.716934	39.978973652	116.338972115	46.420159
33852	5716199	11.391083	-0.071143	-0.610296	0.110963	-0.550158	-0.160001	-104.871296	-81.900656	99.304563	39.978973646	116.338972092	46.419561
33853	5716224	11.533215	0.021085	-0.647145	0.011672	-0.511366	-0.162888	-105.414902	-81.904347	99.855262	39.978973641	116.338972069	46.418973
33854	5716249	11.639097	0.046795	-0.548595	-0.081538	-0.484577	-0.141998	-105.940582	-81.905470	100.374366	39.978973635	116.338972046	46.418395
33855	5716274	11.949940	-0.254712	-0.498855	-0.144844	-0.461735	-0.131865	-106.450481	-81.905450	100.868366	39.978973630	116.338972024	46.413551
33856	5716299	12.263768	-0.462593	-0.483410	-0.191131	-0.441389	-0.146009	-106.951515	-81.907596	101.346718	39.978973625	116.338972001	46.412995
33857	5716324	12.495066	-0.443737	-0.395468	-0.213622	-0.419585	-0.166322	-107.441165	-81.912862	101.810314	39.978973620	116.338971978	46.412454
33858	5716349	12.716803	-0.319060	-0.273946	-0.212309	-0.403543	-0.167818	-107.916281	-81.918481	102.259412	39.978973614	116.338971955	46.411931
33859	5716374	13.004683	-0.341277	-0.252552	-0.191295	-0.389919	-0.140157	-108.367151	-81.920431	102.687058	39.978973609	116.338971932	46.411434
33860	5716399	13.363891	-0.443586	-0.143661	-0.174148	-0.380370	-0.106171	-108.795581	-81.917742	103.094519	39.978973604	116.338971910	46.410950
33861	5716424	13.643068	-0.602359	-0.021651	-0.144446	-0.367059	-0.065480	-109.193297	-81.909749	103.475262	39.978973600	116.338971887	46.410489
