PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
26950	3918765	14.389705	-2.249657	2.540236	-0.039762	-0.172779	0.197701	-102.420078	-82.251060	45.371238
26951	3918790	14.502612	-2.396473	2.458824	-0.039122	-0.129601	0.217724	-102.515091	-82.216896	45.461469
26952	3918815	14.513888	-2.409771	2.347147	-0.037143	-0.084852	0.232677	-102.559883	-82.182034	45.501071
26953	3918840	14.398393	-2.408125	2.271393	-0.021058	-0.033078	0.248489	-102.546110	-82.146556	45.484116
26954	3918865	14.155851	-2.502984	2.280188	0.005111	0.008914	0.253783	-102.485168	-82.111639	45.423327
26955	3918890	13.874969	-2.417808	2.308174	0.029822	0.040621	0.268151	-102.386183	-82.075680	45.327698
26956	3918915	13.592678	-2.369722	2.322736	0.052604	0.060102	0.293615	-102.259602	-82.036742	45.207257
26957	3918940	13.526807	-2.358421	2.239010	0.070402	0.067237	0.345960	-102.113548	-81.990635	45.069950
26958	3918965	13.339530	-2.553185	2.116032	0.083226	0.081415	0.391147	-101.943775	-81.938570	44.910526
26959	3918990	13.371196	-2.720592	2.023786	0.108601	0.080955	0.428845	-101.765213	-81.881138	44.745875
26960	3919015	13.651088	-2.941017	1.768161	0.126286	0.086051	0.452530	-101.576632	-81.820473	44.573403
26961	3919040	13.915855	-3.106558	1.533952	0.139831	0.102593	0.447434	-101.373908	-81.760896	44.388810
26962	3919065	13.976652	-3.205039	1.388743	0.149788	0.111528	0.438689	-101.165596	-81.702704	44.199984
26963	3919090	14.106253	-3.151352	1.362350	0.167477	0.093262	0.421149	-100.978271	-81.646382	44.034902
26964	3919115	14.172742	-3.134305	1.220257	0.188744	0.048520	0.420655	-100.832747	-81.588862	43.914900
26965	3919140	14.105919	-3.155279	0.934536	0.224216	-0.001669	0.417419	-100.732163	-81.530400	43.845676
26966	3919165	14.041969	-3.123881	0.635655	0.281671	-0.038405	0.416887	-100.659119	-81.471022	43.812609
26967	3919190	14.018126	-3.042862	0.294542	0.351553	-0.057498	0.429000	-100.592513	-81.409428	43.796169
26968	3919215	14.040988	-3.022406	-0.026893	0.419477	-0.054786	0.448632	-100.510724	-81.345151	43.773993
26969	3919240	13.935621	-3.006286	-0.292583	0.468864	-0.027476	0.473613	-100.393521	-81.278046	43.723362
26970	3919265	13.767032	-2.908976	-0.560762	0.493483	0.011873	0.502186	-100.233488	-81.207905	43.632955
26971	3919290	13.528199	-2.749866	-0.794093	0.505318	0.065038	0.517267	-100.023228	-81.136933	43.493417
26972	3919315	13.561823	-2.492399	-0.871678	0.496931	0.136633	0.542139	-99.748619	-81.064132	43.287296
26973	3919340	13.591317	-2.332372	-1.010661	0.456694	0.196996	0.570451	-99.425795	-80.988597	43.026692
26974	3919365	13.418399	-2.129632	-1.136289	0.406486	0.261696	0.596890	-99.054018	-80.910567	42.709180
26975	3919390	13.392632	-1.828528	-1.116711	0.357127	0.321727	0.614914	-98.640056	-80.830967	42.341712
26976	3919415	13.328379	-1.550604	-1.141078	0.313465	0.383988	0.625305	-98.183372	-80.750769	41.924346
26977	3919440	13.316326	-1.404651	-1.193732	0.276743	0.435717	0.637663	-97.693459	-80.669282	41.468083
26978	3919465	13.273827	-1.293170	-1.201402	0.254147	0.488770	0.649360	-97.168222	-80.586468	40.972629
26979	3919490	13.217539	-1.249016	-1.242412	0.242423	0.547183	0.653531	-96.603475	-80.503299	40.435301
26980	3919515	13.037359	-1.236290	-1.332834	0.238694	0.612265	0.660165	-95.993183	-80.419318	39.850918
26981	3919540	12.928810	-1.227668	-1.415235	0.236845	0.682056	0.664906	-95.334898	-80.334571	39.217641
26982	3919565	13.029296	-1.249689	-1.409976	0.244777	0.758837	0.670555	-94.622582	-80.248712	38.530542
26983	3919590	13.070555	-1.229228	-1.371289	0.242666	0.838255	0.677076	-93.857034	-80.161275	37.788935
26984	3919615	12.971294	-1.273318	-1.355546	0.246793	0.907857	0.678125	-93.047193	-80.072572	37.002578
26985	3919640	12.903784	-1.302130	-1.363676	0.247741	0.990724	0.685039	-92.184231	-79.981451	36.162400
26986	3919665	12.876249	-1.267747	-1.360889	0.256392	1.067673	0.685802	-91.273713	-79.888312	35.274944
26987	3919690	12.803844	-1.076174	-1.478535	0.251944	1.160353	0.706248	-90.306580	-79.789899	34.329059
